inter_id,inter_name,exit_dir8,exit_label,downstream_inter_id,downstream_inter_name,downstream_signalized
011wwe4mebd00001,永兴街与泰宁路路口,6,西出口,011wwe4m7y000001,永兴街与秦圆路路口,1
011wwe4meen00001,永祥街与永祥街路口,4,南出口,011wwe4meh100001,济太路与泰和路路口,1
011wwe4meh100001,济太路与泰和路路口,2,东出口,011wwe4menc00001,济太路与无名道路路口,1
011wwe4meh100001,济太路与泰和路路口,6,西出口,011wwe4me1100001,永吉街与泰宁路路口,1
011wwe4menc00001,济太路与无名道路路口,2,东出口,011wwe4mg4d00001,永吉街与永吉街路口,1
011wwe4menc00001,济太路与无名道路路口,6,西出口,011wwe4meh100001,济太路与泰和路路口,1
011wwe4mg4d00001,永吉街与永吉街路口,2,东出口,011wwe4q50e00001,永吉街与永吉街路口,1
011wwe4mg4d00001,永吉街与永吉街路口,6,西出口,011wwe4menc00001,济太路与无名道路路口,1
011wwe4mksd00001,秦圆路与泰兴路路口,7,西北出口,011wwe4mpq300001,泰兴路与鲁家路路口,1
011wwe4mpq300001,泰兴路与鲁家路路口,3,东南出口,011wwe4m7y000001,永兴街与秦圆路路口,1
011wwe4n0xy00001,岔口,7,西北出口,011wwe4n4h400001,无名道路与104国道路口,1
011wwe4n4h400001,无名道路与104国道路口,3,东南出口,011wwe1yr1z00001,无名道路与104国道路口,1
011wwe4n51900001,岔口,7,西北出口,011wwe4jgz800001,民族街与104国道路口,1
011wwe4nh4600001,辛虎路与代官屯路路口,6,西出口,011wwe4jund00001,辛虎路与104国道路口,1
011wwe4p1be00001,孙北路与矛家路路口,2,东出口,011wwe4p3f200001,孙北路与庙盐路路口,1
011wwe4p21000001,庙盐路与新耿路路口,0,北出口,011wwe4p3f200001,孙北路与庙盐路路口,1
011wwe4p3gb00001,孙北路与孙北路路口,6,西出口,011wwe4p3f200001,孙北路与庙盐路路口,1
011wwe4pz7m00001,泰隆路与泰隆路路口,0,北出口,011wwe4pzgq00001,王龙池街与泰隆路路口,1
011wwe4pzgq00001,王龙池街与泰隆路路口,0,北出口,011wwe4rbe200001,点将台南街与泰隆路路口,1
011wwe4pzgq00001,王龙池街与泰隆路路口,2,东出口,011wwe4pzyw00001,王龙池街与泰昌西路路口,1
011wwe4pzyw00001,王龙池街与泰昌西路路口,0,北出口,011wwe4rbw900001,点将台南街与泰昌西路路口,1
011wwe4pzyw00001,王龙池街与泰昌西路路口,2,东出口,011wwe60pct00001,王龙池街与谢胡路路口,1
011wwe4pzyw00001,王龙池街与泰昌西路路口,6,西出口,011wwe4pzgq00001,王龙池街与泰隆路路口,1
011wwe4q50e00001,永吉街与永吉街路口,2,东出口,011wwe4q5n500001,永吉街与201县道路口,1
011wwe4q50e00001,永吉街与永吉街路口,6,西出口,011wwe4mg4d00001,永吉街与永吉街路口,1
011wwe4q5n500001,永吉街与201县道路口,2,东出口,011wwe4q74s00001,辛虎路与201县道路口,1
011wwe4q5n500001,永吉街与201县道路口,6,西出口,011wwe4q50e00001,永吉街与永吉街路口,1
011wwe4q6du00001,无名道路与辛虎路路口,0,北出口,011wwe4q74s00001,辛虎路与201县道路口,1
011wwe4q6du00001,无名道路与辛虎路路口,6,西出口,011wwe4q5n500001,永吉街与201县道路口,1
011wwe4q6x200001,无名道路与无名道路路口,0,北出口,011wwe4q7ph00001,永吉街与无名道路路口,1
011wwe4q74s00001,辛虎路与201县道路口,2,东出口,011wwe4q7ph00001,永吉街与无名道路路口,1
