target_inter_id,target_inter_name,movement,entrance_dir8,entrance_eight_direction,turn_dir_no,exit_dir8,downstream_inter_id,downstream_inter_name,receiving_eight_direction,receiving_turn_dir_no,period,target_overflow_max_pm,target_overflow_mean_pm,target_overflow_max_all,target_sat_max_pm,target_green_util_max_pm,target_queue_max_m_pm,downstream_overflow_max_pm,downstream_sat_max_pm,screen_type,target_overflow_problem,target_sat_problem,target_high_demand,downstream_blocked,downstream_slack,has_downstream_dwd
011wwe28yt200001,兴贤北街与正丰路路口,东进口左转,2,3,1,4,011wwe28yjg00001,正丰路与正丰路路口,1,1,evening_peak,0.0873,0.0008,0.3731,,,19.8,0.0539,,OTHER,False,False,False,False,True,True
011wwe28yt200001,兴贤北街与正丰路路口,东进口直行,2,3,2,6,011wwe28y7r00001,兴贤北街与奥体西路路口,3,2,evening_peak,0.09,0.007,0.8335,,,20.4,,,OTHER,False,False,False,,,False
011wwe28yt200001,兴贤北街与正丰路路口,南进口左转,4,5,1,6,011wwe28y7r00001,兴贤北街与奥体西路路口,3,1,evening_peak,0.0741,0.0039,0.3703,,,18.4,0.0649,,OTHER,False,False,False,False,True,True
011wwe28yt200001,兴贤北街与正丰路路口,南进口直行,4,5,2,0,011wwe28yvp00001,康虹路与正丰路路口,5,2,evening_peak,0.091,0.0128,0.1505,,,22.6,0.2865,,OTHER,False,False,False,False,True,True
011wwe28yt200001,兴贤北街与正丰路路口,西进口左转,6,7,1,0,011wwe28yvp00001,康虹路与正丰路路口,5,1,evening_peak,0.1072,0.0075,0.1552,,,22.8,0.1043,,OTHER,False,False,False,False,True,True
011wwe28yt200001,兴贤北街与正丰路路口,西进口直行,6,7,2,2,011wwe28yx100001,兴贤北街与正奥路路口,7,2,evening_peak,0.1589,0.0119,0.521,,,33.8,0.2002,,OTHER,False,False,False,False,True,True
011wwe28yvp00001,康虹路与正丰路路口,北进口左转,0,1,1,2,011wwe28znc00001,康虹路与正奥路路口,7,1,evening_peak,0.0955,0.0141,0.2383,,,28.2,0.3249,,OTHER,False,False,False,False,True,True
011wwe28yvp00001,康虹路与正丰路路口,北进口直行,0,1,2,4,011wwe28yt200001,兴贤北街与正丰路路口,1,2,evening_peak,0.172,0.0164,0.2126,,,50.8,,,OTHER,False,False,False,,,False
011wwe28yvp00001,康虹路与正丰路路口,东进口左转,2,3,1,4,011wwe28yt200001,兴贤北街与正丰路路口,1,1,evening_peak,0.2963,0.0168,0.5806,,,24.6,,,OTHER,False,False,False,,,False
011wwe28yvp00001,康虹路与正丰路路口,东进口直行,2,3,2,6,011wwe28ygh00001,奥体西路与康虹路路口,3,2,evening_peak,0.2602,0.0824,0.6071,,,21.6,0.2454,,OTHER,False,False,False,False,True,True
011wwe28yvp00001,康虹路与正丰路路口,南进口左转,4,5,1,6,011wwe28ygh00001,奥体西路与康虹路路口,3,1,evening_peak,0.1043,0.0104,0.1567,,,30.2,0.0685,,OTHER,False,False,False,False,True,True
011wwe28yvp00001,康虹路与正丰路路口,南进口直行,4,5,2,0,011wwe28zkz00001,弘文街与正丰路路口,5,2,evening_peak,0.2865,0.0251,0.7712,,,83.0,,,OTHER,False,False,False,,,False
011wwe28yvp00001,康虹路与正丰路路口,西进口左转,6,7,1,0,011wwe28zkz00001,弘文街与正丰路路口,5,1,evening_peak,0.0872,0.0117,0.1684,,,20.3,,,OTHER,False,False,False,,,False
011wwe28yvp00001,康虹路与正丰路路口,西进口直行,6,7,2,2,011wwe28znc00001,康虹路与正奥路路口,7,2,evening_peak,0.2114,0.0693,0.4554,,,49.2,0.396,,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,北进口左转,0,1,1,2,011wwe29n3p00001,兴贤北街与奥体中路路口,7,1,evening_peak,0.1256,0.0032,0.3123,,,36.2,0.122,,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,北进口直行,0,1,2,4,011wwe28vz100001,会展路与正奥路路口,1,2,evening_peak,0.0749,0.0043,0.093,,,21.6,0.0,,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,东进口左转,2,3,1,4,011wwe28vz100001,会展路与正奥路路口,1,1,evening_peak,0.1562,0.0063,0.2412,,,33.8,0.4031,0.2571,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,东进口直行,2,3,2,6,011wwe28yt200001,兴贤北街与正丰路路口,3,2,evening_peak,0.2033,0.0155,0.6007,,,44.0,0.09,,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,南进口左转,4,5,1,6,011wwe28yt200001,兴贤北街与正丰路路口,3,1,evening_peak,0.0162,0.0005,0.365,,,7.4,0.0873,,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,南进口直行,4,5,2,0,011wwe28znc00001,康虹路与正奥路路口,5,2,evening_peak,0.0215,0.0009,0.0241,,,9.8,0.0437,,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,西进口左转,6,7,1,0,011wwe28znc00001,康虹路与正奥路路口,5,1,evening_peak,0.1852,0.0031,0.1984,,,42.0,0.034,,OTHER,False,False,False,False,True,True
011wwe28yx100001,兴贤北街与正奥路路口,西进口直行,6,7,2,2,011wwe29n3p00001,兴贤北街与奥体中路路口,7,2,evening_peak,0.2002,0.0101,0.2073,,,45.4,0.0841,,OTHER,False,False,False,False,True,True
011wwe28zkz00001,弘文街与正丰路路口,东进口左转,2,3,1,4,011wwe28yvp00001,康虹路与正丰路路口,1,1,evening_peak,0.1078,0.0021,0.2486,,,22.8,0.0955,,OTHER,False,False,False,False,True,True
011wwe28znc00001,康虹路与正奥路路口,北进口左转,0,1,1,2,011wwe29p1700001,奥体中路与康虹路路口,7,1,evening_peak,0.0274,0.002,0.1024,,,7.6,0.1037,,OTHER,False,False,False,False,True,True
011wwe28znc00001,康虹路与正奥路路口,北进口直行,0,1,2,4,011wwe28yx100001,兴贤北街与正奥路路口,1,2,evening_peak,0.0519,0.0033,0.2393,,,14.4,0.0749,,OTHER,False,False,False,False,True,True
011wwe28znc00001,康虹路与正奥路路口,东进口左转,2,3,1,4,011wwe28yx100001,兴贤北街与正奥路路口,1,1,evening_peak,0.0663,0.0015,0.0663,,,18.6,0.1256,,OTHER,False,False,False,False,True,True
011wwe28znc00001,康虹路与正奥路路口,南进口直行,4,5,2,0,011wwe28zqr00001,弘文街与正奥路路口,5,2,evening_peak,0.0437,0.0033,0.0784,,,12.6,0.049,,OTHER,False,False,False,False,True,True
011wwe28znc00001,康虹路与正奥路路口,西进口左转,6,7,1,0,011wwe28zqr00001,弘文街与正奥路路口,5,1,evening_peak,0.3249,0.0046,0.3249,,,75.8,0.0699,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28znc00001,康虹路与正奥路路口,西进口直行,6,7,2,2,011wwe29p1700001,奥体中路与康虹路路口,7,2,evening_peak,0.396,0.0452,0.396,,,92.4,0.2188,,WEAK_TYPE1,False,False,False,False,True,True
